evidence_kind,chain,block,chain_time_utc,contract,subject_address,metric,raw_integer,decimals,human_value,unit,call_or_formula,transaction_hash,log_index,evidence_page,limitation
recorded_read,Ethereum,26019059,2026-09-20T13:35:23Z,0xc39a5a616f0ad1ff45077fa2de3f79ab8eb8b8b9,0xb8734a14fbd4aa2d44e6aa830405ffc861ba313c,Selected holder pool shares,233412770855973,6,233412770.855973,pool shares,balanceOf(address),,,/p/usde/research/2026-09-20-backing-recovery-and-redemption-capacity/#observed-maple,Assessor-labelled wallet; not legal beneficial ownership or withdrawal cash.
recorded_read,Ethereum,26019059,2026-09-20T13:35:23Z,0xc39a5a616f0ad1ff45077fa2de3f79ab8eb8b8b9,,Total pool shares,263318334567905,6,263318334.567905,pool shares,totalSupply(),,,/p/usde/research/2026-09-20-backing-recovery-and-redemption-capacity/#observed-maple,Pool denominator only; not issuer supply.
recorded_read,Ethereum,26019059,2026-09-20T13:35:23Z,0xc39a5a616f0ad1ff45077fa2de3f79ab8eb8b8b9,,Pool accounting assets,342067873308294,6,342067873.308294,USDC accounting units,totalAssets(),,,/p/usde/research/2026-09-20-backing-recovery-and-redemption-capacity/#observed-maple,Not direct liquidity; shares and underlying assets must not be added.
recorded_read,Ethereum,26019059,2026-09-20T13:35:23Z,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc39a5a616f0ad1ff45077fa2de3f79ab8eb8b8b9,Direct pool USDC,694920022526,6,694920.022526,USDC,balanceOf(address),,,/p/usde/research/2026-09-20-backing-recovery-and-redemption-capacity/#observed-maple,Not total withdrawable liquidity or cash reserved to this holder; already inside pool assets.
recorded_read,Ethereum,26019059,2026-09-20T13:35:23Z,0x9cef7d1d390a4811bba1bc40a53b40a506c33b19,,Recorded unrealized losses,0,6,0,USDC accounting units,unrealizedLosses(),,,/p/usde/research/2026-09-20-backing-recovery-and-redemption-capacity/#observed-maple,A zero accounting field is not a full recovery or future-loss guarantee.
recorded_read,Ethereum,26019059,2026-09-20T13:35:23Z,0x8a665131e796203a5232527fac441480e02fbb7f,,Queue total shares,0,6,0,pool shares,totalShares(),,,/p/usde/research/2026-09-20-backing-recovery-and-redemption-capacity/#observed-maple,Does not establish a freeze or immediate entitlement to all pool assets.
recorded_read,Ethereum,26019059,2026-09-20T13:35:23Z,0x8a665131e796203a5232527fac441480e02fbb7f,0xb8734a14fbd4aa2d44e6aa830405ffc861ba313c,Holder manually available locked shares,0,6,0,pool shares,lockedShares(address),,,/p/usde/research/2026-09-20-backing-recovery-and-redemption-capacity/#observed-maple,Getter covers manually available shares; not every unprocessed request.
recorded_read,Ethereum,26019059,2026-09-20T13:35:23Z,0xc39a5a616f0ad1ff45077fa2de3f79ab8eb8b8b9,0xb8734a14fbd4aa2d44e6aa830405ffc861ba313c,Holder maxRedeem at snapshot,0,6,0,pool shares,maxRedeem(address),,,/p/usde/research/2026-09-20-backing-recovery-and-redemption-capacity/#observed-maple,A request-first process can return zero; not a default or freeze finding.
calculation_from_recorded_reads,Ethereum,26019059,2026-09-20T13:35:23Z,0xc39a5a616f0ad1ff45077fa2de3f79ab8eb8b8b9,0xb8734a14fbd4aa2d44e6aa830405ffc861ba313c,Floor-rounded holder accounting claim,303218574812566,6,303218574.812566,USDC accounting units,floor(holder shares * totalAssets / totalSupply),,,/p/usde/research/2026-09-20-backing-recovery-and-redemption-capacity/#observed-maple,Not an executed withdrawal or total available cash.
calculation_from_recorded_reads,Ethereum,26019059,2026-09-20T13:35:23Z,0xc39a5a616f0ad1ff45077fa2de3f79ab8eb8b8b9,0xb8734a14fbd4aa2d44e6aa830405ffc861ba313c,Holder percentage of pool shares,,0,88.642809942951427830878534184045559259119445397029,percent,holder shares / totalSupply * 100,,,/p/usde/research/2026-09-20-backing-recovery-and-redemption-capacity/#observed-maple,Pool-share concentration only; not issuer reserve share or legal ownership.
calculation_from_recorded_reads,Ethereum,26019059,2026-09-20T13:35:23Z,0xc39a5a616f0ad1ff45077fa2de3f79ab8eb8b8b9,0xb8734a14fbd4aa2d44e6aa830405ffc861ba313c,Direct cash percentage of unrounded holder claim,,0,0.22918121785763335876231270903245719943539380188301,percent,direct USDC * totalSupply / (holder shares * totalAssets) * 100,,,/p/usde/research/2026-09-20-backing-recovery-and-redemption-capacity/#observed-maple,Not a total-liquidity ratio or loss estimate.
conditional_calculation,Ethereum,26019059,2026-09-20T13:35:23Z,0xc39a5a616f0ad1ff45077fa2de3f79ab8eb8b8b9,0xb8734a14fbd4aa2d44e6aa830405ffc861ba313c,Conditional other funding for full exit,302523654790040,6,302523654.79004,USDC,floor-rounded holder claim - direct pool USDC,,,/p/usde/research/2026-09-20-backing-recovery-and-redemption-capacity/#observed-maple,"Assumes unchanged claim, no expenses or other priority demand and all direct cash released to holder. Not measured loss or waiting time."
recorded_read,Ethereum,26019086,2026-09-20T13:40:47Z,0xc39a5a616f0ad1ff45077fa2de3f79ab8eb8b8b9,0xb8734a14fbd4aa2d44e6aa830405ffc861ba313c,convertToAssets(uint256) for recorded shares,303218726518832,6,303218726.518832,USDC accounting units,convertToAssets(uint256); shares=233412770855973,,,/p/usde/research/2026-09-20-backing-recovery-and-redemption-capacity/#observed-maple,Later block than accounting snapshot; not an executable withdrawal.
